#system	key	reason
FDS	Sunsoft Dev Disk Lot - 'E180L05' no. 2 and no. 3 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'E180L05' no. 4 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'F087D22' (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'F266F13' (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'G188D21N' no. 1 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'G188D21N' no. 2 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'G188D21N' no. 3 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'J226I22' no. 1 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'J226I22' no. 3 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'K057G06' (Japan)	manual, 2026-08-31
GAMEBOY	Mani 4 in 1 - Genki Bakuhatsu Gambaruger + Zettai Muteki Raijin-Oh + Zoids Densetsu + Miracle Adventure of Esparks - Ushinawareta Seiseki Perivron (China) (Ja)	manual, 2026-08-31
GAMEBOY	Mani 4 in 1 - R-Type II + Saigo no Nindou + Ganso!! Yancha Maru + Shisenshou - Match-Mania (China) (Ja)	manual, 2026-08-31
GAMEBOY	Mani 4 in 1 - Takahashi Meijin no Bouken-jima II + GB Genjin + Bomber Boy + Milon no Meikyuu Kumikyoku (China) (Ja)	manual, 2026-08-31
GBA	4x4 Off-Roaders (Europe) (Proto)	manual, 2026-09-03
GBA	Adventures of Mr. Bean (Europe) (Demo)	manual, 2026-08-31
GBA	Commandos 2 (Japan) (Proto)	manual, 2026-08-31
GBA	Daigassou! Band-Brothers - Request Selection (Japan) (DS Expansion Cartridge)	manual, 2026-08-31
GBA	Famicom Mini Collection (China) (En) (Proto)	manual, 2026-08-31
GBA	GBA Jukebox (USA)	manual, 2026-08-31
GBA	Glucoboy (Australia)	manual, 2026-08-31
GBA	Hikaru no Go 3 - Senyou Joy Carry Cartridge (Japan) (Rewritable Cartridge)	manual, 2026-08-31
GBA	Holy Bible, The - World English Bible (USA) (Proto)	manual, 2026-08-31
GBA	Mario Kart XXL (Europe) (Demo)	manual, 2026-08-31
GBA	Mechanic Mechanica (Japan) (Proto)	manual, 2026-08-31
GBA	Moorhuhn Jagd (Europe) (Proto)	manual, 2026-08-31
GBA	Mythri (USA) (Proto)	manual, 2026-08-31
GBA	Nintendo MP3 Player (Europe) (En,Fr,De,Es,It)	manual, 2026-08-31
GBA	Play-Yan (Japan)	manual, 2026-08-31
GBA	Pocket Monsters Diamond - Pocket Monsters Pearl - Manaphy Present Campaign Senyou Cartridge (Japan) (En)	manual, 2026-08-31
GBA	Pocket Monsters Diamond - Tomodachi to Issho ni! - Present Campaign Senyou Cartridge (Japan) [b]	manual, 2026-08-31
GBA	Pocket Monsters Pearl - Tomodachi to Issho ni! - Present Campaign Senyou Cartridge (Japan) [b]	manual, 2026-08-31
GBA	Pokemon - Slot 2 Distribution (Japan) (Proto)	manual, 2026-08-31
GBA	R3D Demo (Europe) (Demo)	manual, 2026-08-31
GBA	Viewpoint (Europe) (Demo)	manual, 2026-08-31
GBA	Yoshi Sample (Japan) (En) (SDK 3.0) (Tech Demo)	manual, 2026-08-31
GBA	e-Reader (USA)	manual, 2026-08-31
GBA	iQue Reader (China)	manual, 2026-08-31
GBA	iQue Video & Audio (China)	manual, 2026-08-31
GBC	Green Beret (Unknown) (Proto 1)	manual, 2026-08-31
GameGear	Poker Face Paul's Cribbage (USA) (Proto)	manual, 2026-08-31
Genesis	Arcade Legends Sega Mega Drive (World) (Radica)	manual, 2026-08-31
Genesis	Beethoven's 2nd - The Quest for Pups (USA) (Proto)	manual, 2026-08-31
Genesis	Breach (USA) (Proto)	manual, 2026-08-31
Genesis	Elite (Europe) (Demo 1) (Game)	manual, 2026-08-31
Genesis	Flux (Europe) (Program)	manual, 2026-08-31
Genesis	GEMS (USA) (Proto) (Program)	manual, 2026-08-31
Genesis	Game Genie (USA, Europe) (Program)	manual, 2026-08-31
Genesis	Mega Anser (Japan) (Program)	manual, 2026-08-31
Genesis	Mega Bomberman - Special 8-Player-Demo (Europe) (Proto)	manual, 2026-08-31
Genesis	Mega Net (Brazil) (Program)	manual, 2026-08-31
Genesis	Nuclear Rush (USA) (Proto)	manual, 2026-08-31
Genesis	Out of the Vortex (USA) (Proto 1)	manual, 2026-08-31
Genesis	Payne Stewart Pro Golf (USA) (Proto 2)	manual, 2026-08-31
Genesis	Road Riot 4WD (USA) (Proto)	manual, 2026-08-31
Genesis	Sega Art Tool (Japan) (En) (Program)	manual, 2026-08-31
Genesis	Sega Channel (Japan) (v2.11) (Program)	manual, 2026-08-31
Genesis	Sega Channel (USA) (Demo)	manual, 2026-08-31
Genesis	Sega Channel (USA) (General Instrument) (Program)	manual, 2026-08-31
Genesis	Sega Game Toshokan (Japan) (En) (Rev A) (Program)	manual, 2026-08-31
Genesis	Sega Sound Tool (USA) (v2.2) (Program)	manual, 2026-08-31
Genesis	Space Hero (USA) (Proto)	manual, 2026-08-31
Genesis	Telebradesco Residencia (Brazil) (Program)	manual, 2026-08-31
Genesis	Wonder Library (Japan) (Program)	manual, 2026-08-31
Genesis	Wonder MIDI (Japan) (En) (Program)	manual, 2026-08-31
Intellivision	Demonstration Cartridge - Blue (USA)	manual, 2026-08-31
Intellivision	Demonstration Cartridge - Green (USA)	manual, 2026-09-03
Intellivision	Demonstration Cartridge - Red (USA)	manual, 2026-09-03
Intellivision	Happy Holidays - Trick or Treat (USA) (Proto)	manual, 2026-08-31
Intellivision	IMI Test Cartridge (USA)	manual, 2026-08-31
Intellivision	MTE 201 Test Cartridge V1.0 (USA)	manual, 2026-08-31
Jaguar	High Voltage C Maze (USA) (Demo)	manual, 2026-08-31
Jaguar	Speedster II (USA) (Proto)	manual, 2026-08-31
Jaguar	Ultimate Brain Games (USA) (Proto)	manual, 2026-09-03
Jaguar	Zzyorxx II (USA) (Demo)	manual, 2026-08-31
N64	EEPROM & SRAM Erase Program (USA) (v1.2) (LodgeNet)	manual, 2026-08-31
N64	Nintendo 64 Modem (Japan) (Add-on)	manual, 2026-08-31
N64	Wide-Boy64 AGB (World) (v0.02c)	manual, 2026-08-31
N64	Wide-Boy64 CGB (World) (v1.02)	manual, 2026-08-31
NES	FamicomBox (Japan) (Menu Cart)	manual, 2026-08-31
NES	FamicomStation (Japan) (Menu Cart)	manual, 2026-08-31
NES	Idemitsu - Space College - Kikenbutsu no Yasashii Butsuri to Kagaku (Japan)	manual, 2026-08-31
NES	NHK Gakuen - Space School - Sansu 5 Nen (Jou) (Japan)	manual, 2026-08-31
NES	Nintendo Campus Challenge 1991 (USA) (Competition Cart) [b]	manual, 2026-08-31
NES	Oeka Kids - Anpanman no Hiragana Daisuki (Japan)	manual, 2026-09-03
NES	Scanner (USA) (Proto)	manual, 2026-09-03
PSX	Final Fantasy VII International (Japan) (Disc 1)	manual, 2026-08-30
S32X	32X Sample Program - PWM Sound Demo (USA) (Demo)	manual, 2026-08-31
S32X	Ecco the Dolphin (USA) (Auto Demo)	manual, 2026-08-31
S32X	Mars Check Program (USA) (Auto Demo)	manual, 2026-08-31
S32X	Mars Sample Program - Gnu Sierra (USA) (Auto Demo)	manual, 2026-08-31
S32X	Mars Sample Program - Pharaoh (USA) (Auto Demo)	manual, 2026-08-31
S32X	Mars Sample Program - Runlength Mode Test (USA) (Auto Demo)	manual, 2026-08-31
S32X	Mars Sample Program - Texture Test (USA) (Auto Demo)	manual, 2026-08-31
SG-1000	Complete Arcade Pack Collection, The (New Zealand) (SF-7000)	manual, 2026-09-03
SG-1000	SG-1000 M2 Test Cartridge (Japan)	manual, 2026-08-31
SMS	A-Team Music, The (Europe) (Proto) (Sound Data)	manual, 2026-08-31
SMS	Color & Switch Test (Brazil) (En) (Rev A)	manual, 2026-08-31
SMS	Lethal Weapon 3 Music (Europe) (Proto) (Sound Data)	manual, 2026-08-31
SMS	Promocao Especial M. System III Compact (Brazil) (Demo)	manual, 2026-08-31
SMS	Sega Graphic Board (USA) (v2.0) (Proto)	manual, 2026-08-31
SNES	Burn-in - Test Cartridge (USA) (Rev D)	manual, 2026-08-31
SNES	CX4 (World) (Enhancement Chip)	manual, 2026-08-31
SNES	Cassette Kensaki - NUS-you S Cassette (Japan) (En) (Program)	manual, 2026-08-31
SNES	Controller Test Cassette (Japan) (En)	manual, 2026-08-31
SNES	DSP1 (World) (Enhancement Chip)	manual, 2026-08-31
SNES	DSP1 B (World) (Enhancement Chip)	manual, 2026-08-31
SNES	DSP1 Tech Demo (World) (Tech Demo)	manual, 2026-08-31
SNES	DSP2 (World) (Enhancement Chip)	manual, 2026-08-31
SNES	DSP3 (Japan) (Enhancement Chip)	manual, 2026-08-31
SNES	DSP4 (World) (Enhancement Chip)	manual, 2026-08-31
SNES	JRA PAT (Japan) (TJCJ)	manual, 2026-08-31
SNES	JRA PAT - Wide Taiouban (Japan) (TJEJ)	manual, 2026-08-31
SNES	Mer Wars (USA) (Proto)	manual, 2026-08-31
SNES	NTF 2.5 Test Cartridge (USA) (Rev A)	manual, 2026-08-31
SNES	Nintendo Power Menu Program (Japan) (NP)	manual, 2026-08-31
SNES	Puggsy (USA) (Proto)	manual, 2026-08-31
SNES	Reactor (Europe) (Proto)	manual, 2026-08-31
SNES	SA1 Demonstration Program (World) (Tech Demo)	manual, 2026-08-31
SNES	SNSP Aging Ver 1.02 (Japan) (En)	manual, 2026-08-31
SNES	ST010 (Japan, USA) (Enhancement Chip)	manual, 2026-08-31
SNES	ST011 (Japan) (Enhancement Chip)	manual, 2026-08-31
SNES	ST018 (Japan) (Enhancement Chip)	manual, 2026-08-31
SNES	Sleep (Japan) (En) (Proto)	manual, 2026-08-31
SNES	Sound Factory (Japan) (En) (Proto)	manual, 2026-08-31
SNES	Squaresoft Mode 7 Demo (USA) (Tech Demo)	manual, 2026-08-31
SNES	SuFami Turbo (Japan)	manual, 2026-08-31
SNES	Super Famicom Box 4S Attraction (Japan)	manual, 2026-08-31
SNES	Super Full Metal Planet (Europe) (En,It) (Proto 2)	manual, 2026-08-31
SNES	Super Game Boy (Japan, USA) (En)	manual, 2026-08-31
SNES	Super Game Boy 2 (Japan)	manual, 2026-08-31
SNES	Super Game Boy 2 SGB2-CPU (Japan) (Enhancement Chip)	manual, 2026-08-31
SNES	Super Game Boy SGB-CPU (World) (Enhancement Chip)	manual, 2026-08-31
SNES	Super NES Control Deck Tester (Japan) (En) (Rev 1)	manual, 2026-08-31
SNES	Titus the Fox (Europe) (Proto)	manual, 2026-08-31
SNES	X (Japan) (En) (Demo)	manual, 2026-08-31
SNES	XBAND (Japan)	manual, 2026-08-31
SNES	Zaitaku Touhyou System - SPAT4-Wide (Japan) (TOBJ)	manual, 2026-08-31
Satellaview	BS Famitsu Magazine Kawara-ban 5-24 Gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	BS KureKure Mou Race - 2 Tsuki-Gou (2-3) + RPG Tsukuru 2 (Japan) (Data Pack)	manual, 2026-09-01
Satellaview	BS KureKure Mou Race - 2 Tsuki-Gou (Japan) (2-11) (Data Pack)	manual, 2026-09-01
Satellaview	BS Nintendo HP - 10-18 Gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	BS Nintendo HP - 2-21 Gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Chrono Trigger - Character Zukan (Japan)	manual, 2026-09-01
Satellaview	Chrono Trigger - Music Library (Japan)	manual, 2026-09-01
Satellaview	Cooly Skunk (Japan) (Demo)	manual, 2026-08-31
Satellaview	Freud no Chousenjou - Dai-11-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Houkago no Ousama (1995-10-4) + AK LIVE Hit Gang (1995-10-9) (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Ijuin Hikaru no Kai Denpa Hasshin Kichi (Japan) (1996-7-6) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Lily Franky Theater - Manga (Japan) (1995-5-11) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Machi Magazine (Japan) (11-4) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Mirai-gata Idol Kaihatsu System - Media Strawberry (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Mirai-gata Idol Kaihatsu System - Media Strawberry - Vol. 12 (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Nintendo Power Magazine 107 (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Okirakukouza + Kanaderu Score + Satesupo DX - Dai-5-gou (Japan) (Data, Magazine)	manual, 2026-08-31
Satellaview	Organic Stone - Honpen (Japan) (Data Pack)	manual, 2026-09-01
Satellaview	Oryouri Pon 12 Tsuki-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Pokekame Magazine (Japan) (Magazine)	manual, 2026-08-31
Satellaview	RPG Tsukuru 2 Collection (Japan) (Data Pack)	manual, 2026-09-01
Satellaview	Ranking Magazine - 3 Tsuki-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Ryouma de Yuku (Japan) (Data Pack)	manual, 2026-09-01
Satellaview	Ryouma de Yuku - Kanaderu Score (5-7) + Yusuke Akamatsu Theater (5-7) (Japan) (Data, SoundLink Magazine)	manual, 2026-09-01
Satellaview	Ryouma de Yuku - Kanaderu Score (6-30) + Ryouma de Yuku - Kanaderu Score (8-4) (Japan) (Data Pack)	manual, 2026-09-01
Satellaview	SateSupo DX - Dai-1-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	SateSupo DX - Dai-1-gou + SateSupo DX - Dai-4-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	SateSupo DX - Dai-5-gou (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Satella Walker 2 - Dai-1-wa - Mokumoku Kemuri Panic (Japan) (Rerun) (SoundLink)	manual, 2026-09-01
Satellaview	Satella Yokochou - 8-24 Gou (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Sound Novel Tsukuru Data - Okirakukouza (Japan) (Data Pack)	manual, 2026-08-31
Satellaview	Square Magazine (1995-11-7) + Square Magazine (1995-11-21) (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Square Magazine (1995-12-5) + Lily Franky Theater - Live Action Version (1995-12-4) (Japan) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Square Magazine (Japan) (1995-11-7) (SoundLink Magazine) (Standalone Fix)	manual, 2026-08-31
Satellaview	Uchida Yuki Yuugure Street Kids (Japan) (1995-9-9) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	View Cinema Paradise - Vol. 4 (Japan) (1999-1-17) (Magazine)	manual, 2026-08-31
Satellaview	Weekly Bass Tsuri No.1 Magazine - Vol.24 (Japan) (Magazine)	manual, 2026-08-31
Satellaview	Yusuke Akamatsu Theater (Japan) (5-7) (SoundLink Magazine)	manual, 2026-08-31
Satellaview	Zubari - 3 Gatsugou (Japan) (Magazine)	manual, 2026-08-31
TGFX16	TV Sports Baseball (USA) (Proto)	manual, 2026-08-31
TGFX16	Ten no Koe Bank (Japan)	manual, 2026-08-31
VECTREX	Engine Analyzer (USA) (Proto)	manual, 2026-08-31
VECTREX	RA+A Spectrum I+ Stress Tester (USA) (Proto)	manual, 2026-08-31
VECTREX	Test Cartridge (USA) (Rev 4) (Proto)	manual, 2026-08-31
